section,metric,value
protocol,script_version,2026-08-18-ahei-intakes-v1
protocol,cohort,10k
protocol,research_stage,00_00_visit
protocol,standard_drink_g,14.0
protocol,nuts_legumes_g_per_serving,28.35
overall,participant_count,1
overall,participant_day_count,3
overall,participants_with_complete_mahei7_intakes,1
overall,participants_with_any_weight_override,0
events,excluded_missing_labels_rows,0
events,excluded_other_cohort_or_stage_rows,0
events,input_rows,39
events,invalid_numeric_calories_kcal,0
events,invalid_numeric_carbohydrate_g,0
events,invalid_numeric_lipid_g,0
events,invalid_numeric_protein_g,0
events,invalid_numeric_weight_g,0
events,missing_food_id_rows,0
events,missing_weight_after_override_rows,0
events,missing_weight_before_override_rows,0
events,negative_weight_g_rows,0
events,retained_selected_rows,39
events,selected_rows,39
events,unmatched_food_id_rows,37
events,weight_override_applied_rows,0
events,weight_override_not_needed_rows,0
component,vegetables_complete_participant_count,1
component,fruit_complete_participant_count,1
component,ssb_plus_fruit_juice_complete_participant_count,1
component,red_plus_processed_meat_complete_participant_count,1
component,whole_grains_complete_participant_count,1
component,nuts_plus_legumes_complete_participant_count,1
